Hospital,admission_day,concurrent_admissions,signal
Abbott Inc,2022-05-07,1,normal
Abbott Ltd,2022-08-01,1,normal
"Abbott Moore and Williams,",2022-08-25,1,normal
"Abbott and Thompson, Sullivan",2022-12-03,1,normal
"Abbott, Peters and Hoffman",2022-01-05,2,normal
"Abbott, Vazquez Bautista and",2022-11-02,1,normal
Abbott-Castillo,2020-07-31,1,normal
Abbott-Coleman,2021-10-12,1,normal
Abbott-Ferrell,2021-06-09,1,normal
Abbott-Hill,2024-05-03,1,normal
Abbott-Jones,2021-10-01,1,normal
Abbott-Martin,2020-07-07,1,normal
Abbott-Martin,2022-03-19,1,normal
Abbott-Rios,2020-07-11,1,normal
Abbott-Wilson,2020-05-06,1,normal
Acevedo Group,2020-04-13,1,normal
"Acevedo Holmes and Rangel,",2021-09-07,1,normal
Acevedo LLC,2022-09-17,1,normal
Acevedo Ltd,2022-06-18,2,normal
Acevedo Ltd,2022-12-26,1,normal
Acevedo PLC,2019-08-10,1,normal
Acevedo PLC,2023-04-06,1,normal
"Acevedo Phillips Steele, and",2021-04-02,1,normal
"Acevedo and Ellis, Snyder",2024-01-22,1,normal
"Acevedo and Hart, Hernandez",2022-10-04,2,normal
"Acevedo and Howard Burke,",2019-12-29,1,normal
"Acevedo and Larson Andrews,",2021-01-28,1,normal
"Acevedo and Lewis Barker,",2022-02-02,1,normal
"Acevedo, Jordan and Diaz",2022-09-21,1,normal
"Acevedo, Martin and Price",2019-07-07,1,normal
"Acevedo, Riddle Payne and",2019-10-30,1,normal
Acevedo-Diaz,2020-04-11,1,normal
Acevedo-Goodwin,2019-05-15,1,normal
Acevedo-Henderson,2020-05-21,1,normal
Acevedo-Lawson,2021-04-26,1,normal
Acosta Group,2019-05-20,1,normal
Acosta Group,2021-12-25,2,normal
Acosta Inc,2019-05-17,1,normal
Acosta Inc,2021-01-31,1,normal
Acosta LLC,2020-10-17,1,normal
Acosta Ltd,2019-10-27,1,normal
Acosta Ltd,2021-02-12,1,normal
Acosta Ltd,2023-08-25,1,normal
Acosta PLC,2021-09-04,1,normal
Acosta Sons and,2021-02-23,1,normal
"Acosta Trujillo Davis, and",2019-12-31,1,normal
"Acosta Weeks Yates, and",2020-05-24,2,normal
"Acosta Willis, Martin and",2022-09-01,1,normal
"Acosta and Tapia Evans,",2023-10-29,1,normal
"Acosta, Figueroa Compton and",2020-12-13,1,normal
"Acosta, Gordon Smith and",2023-05-02,1,normal
"Acosta, Miller Martin and",2020-04-30,1,normal
"Acosta, Reed and Guzman",2020-01-05,1,normal
"Acosta, and Martin Torres",2021-10-04,1,normal
"Acosta, and Price Jackson",2021-05-15,1,normal
"Acosta, and Young Morrow",2021-04-11,1,normal
Acosta-Barnes,2023-01-23,1,normal
Acosta-Berry,2023-01-29,1,normal
Acosta-Carlson,2022-06-23,1,normal
Acosta-Chambers,2024-01-17,1,normal
Acosta-Clark,2022-08-22,1,normal
Acosta-Davila,2023-11-01,1,normal
Acosta-Dickerson,2022-01-25,1,normal
Acosta-Miller,2024-01-11,1,normal
Acosta-Robertson,2023-02-24,1,normal
Acosta-Smith,2020-07-21,1,normal
Acosta-Taylor,2019-10-23,1,normal
Acosta-Thomas,2022-03-31,1,normal
"Adams Baxter, and Peterson",2022-06-21,1,normal
"Adams Bell Adams, and",2020-01-14,1,normal
Adams Group,2019-07-05,1,normal
Adams Group,2020-02-16,1,normal
Adams Group,2020-11-14,1,normal
Adams Group,2021-06-30,1,normal
Adams Group,2023-06-03,1,normal
Adams Group,2024-01-06,1,normal
Adams Group,2024-01-19,1,normal
Adams Group,2024-04-04,1,normal
Adams Inc,2019-12-10,1,normal
Adams Inc,2024-02-26,1,normal
Adams LLC,2020-04-28,1,normal
Adams LLC,2020-07-10,2,normal
Adams LLC,2020-07-16,1,normal
Adams LLC,2021-10-06,1,normal
Adams LLC,2022-01-12,1,normal
Adams LLC,2022-06-13,1,normal
Adams LLC,2023-02-10,1,normal
"Adams Lawson, and Fleming",2023-04-16,1,normal
Adams Ltd,2020-04-20,1,normal
Adams Ltd,2020-08-03,1,normal
Adams Ltd,2020-10-18,1,normal
Adams Ltd,2022-02-19,1,normal
Adams Ltd,2023-07-07,1,normal
"Adams Macias and Arias,",2019-07-10,1,normal
"Adams Marshall, Taylor and",2019-05-12,1,normal
"Adams Morris, and Griffin",2023-02-02,1,normal
"Adams Murphy and Lopez,",2024-05-05,1,normal
"Adams Navarro, Gomez and",2022-03-06,1,normal
"Adams Novak, and James",2019-06-09,1,normal
"Adams Odonnell and Cook,",2019-05-10,1,normal
Adams PLC,2020-12-22,1,normal
Adams PLC,2023-06-19,1,normal
"Adams Patterson, Lawrence and",2023-06-06,1,normal
"Adams Patterson, and Pham",2020-09-07,1,normal
"Adams Rivas Duran, and",2020-06-21,1,normal
"Adams Smith Cervantes, and",2019-09-10,1,normal
Adams Sons and,2020-07-29,1,normal
Adams Sons and,2023-01-21,1,normal
"Adams Torres Nixon, and",2019-12-25,1,normal
"Adams Weaver, and Acosta",2021-06-08,2,normal
"Adams West and Poole,",2022-07-10,2,normal
"Adams Wilson, Newton and",2023-08-04,1,normal
"Adams and Brown Benson,",2024-04-23,1,normal
"Adams and Campos Cooper,",2019-07-08,2,normal
"Adams and Delgado Newman,",2021-04-02,1,normal
"Adams and Everett Garza,",2022-05-13,1,normal
"Adams and Freeman Oneal,",2024-04-07,1,normal
"Adams and Gonzales, Clark",2020-05-09,1,normal
"Adams and Roberts Armstrong,",2022-09-26,1,normal
"Adams and Smith Olson,",2021-07-17,1,normal
Adams and Sons,2019-06-28,1,normal
Adams and Sons,2022-01-12,1,normal
Adams and Sons,2023-06-01,1,normal
"Adams and Thomas Williams,",2023-11-12,1,normal
"Adams and White, Smith",2022-03-16,1,normal
"Adams, Bowers Escobar and",2022-03-11,1,normal
"Adams, Christian and Perry",2019-05-14,1,normal
"Adams, Collins Simmons and",2024-04-15,1,normal
"Adams, Hayes and Gardner",2023-08-08,1,normal
"Adams, Hendricks Collins and",2023-03-30,1,normal
"Adams, Mcgee Brown and",2022-03-25,1,normal
"Adams, Proctor Evans and",2022-11-10,1,normal
"Adams, Randall Powers and",2019-11-26,1,normal
"Adams, Ross Edwards and",2022-11-13,1,normal
"Adams, and Colon Green",2020-10-04,1,normal
"Adams, and Daniels Rogers",2020-08-20,2,normal
"Adams, and Jackson Greer",2022-08-08,1,normal
"Adams, and Johns Molina",2022-08-03,1,normal
"Adams, and Joseph Williams",2021-03-15,1,normal
"Adams, and Rodriguez Wright",2022-11-25,1,normal
Adams-Bailey,2021-01-24,1,normal
Adams-Barnes,2022-10-08,1,normal
Adams-Bass,2022-06-15,1,normal
Adams-Bell,2023-08-31,1,normal
Adams-Bennett,2019-06-04,1,normal
Adams-Benson,2022-11-30,1,normal
Adams-Best,2023-11-11,2,normal
Adams-Black,2020-07-08,1,normal
Adams-Castillo,2019-07-19,1,normal
Adams-Castro,2020-10-13,2,normal
Adams-Chase,2021-04-03,1,normal
Adams-Clark,2023-05-13,1,normal
Adams-Cortez,2022-08-20,1,normal
Adams-Daugherty,2022-10-08,1,normal
Adams-Dean,2020-02-08,1,normal
Adams-Dominguez,2023-08-02,1,normal
Adams-Ferguson,2022-05-01,1,normal
Adams-Flynn,2023-01-30,1,normal
Adams-Gallegos,2024-04-16,1,normal
Adams-Garza,2019-12-02,1,normal
Adams-Gates,2023-06-09,1,normal
Adams-Gomez,2019-07-11,1,normal
